#Grassland

#BASE (will be overwritten by any child biomes
Surface_Block_ID: 2
Underwater_Block_ID: 5
Beach_Block_ID: 5
Base_Tree_Chance: 0.0001

# If active is set to 1, far terrain will use this color rather
# than the blended color map. Good for when surface block is 
# not grass, or when debugging.

#               Active  R   G   B
Terrain_Color:  0       255   0   0   

Tree_List:
#   Name                Probability
    Standard_Deciduous1 1.000
    Standard_Deciduous1 0.600
    Willow              0.300
    Big_Willow          0.300


Flora_List:
#   Name                Probability
    Tall_Grass          0.2
    Tall_Weed           0.05
    White_Flowers       0.1
    Red_Flower_Grass    0.05
    Red_Bush            0.01
    Blue_Flowers        0.03
    Dandilion           0.03
    Tall_Light_Grass    0.02
    Dry_Grass           0.02
