#										TreeData
# READ THE README!
# Register all trees here!

#Tree name             file name

Banzai                 Trees/Banzai.soatree.yml
Willow                 Trees/Willow.soatree.yml
Big_Willow             Trees/Big_Willow.soatree.yml
Desert                 Trees/Desert.soatree.yml
Palm                   Trees/Palm.soatree.yml
Pine                   Trees/Pine.soatree.yml
Standard_Deciduous1    Trees/Standard_Deciduous1.soatree.yml
Standard_Deciduous2    Trees/Standard_Deciduous2.soatree.yml
Standard_Deciduous1Dead    Trees/Standard_Deciduous1Dead.soatree.yml
Standard_Deciduous2Dead    Trees/Standard_Deciduous2Dead.soatree.yml
Swamp1                 Trees/Swamp1.soatree.yml
Tall_Jungle1           Trees/Tall_Jungle1.soatree.yml
Poplar                 Trees/Poplar.soatree.yml
Crown_Deciduous        Trees/Crown_Deciduous.soatree.yml
Blossom1               Trees/Blossom1.soatree.yml
DeadTree               Trees/DeadTree.soatree.yml
MassiveTree            Trees/MassiveTree.soatree.yml
RedwoodTree            Trees/RedwoodTree.soatree.yml

Grey_Mushroom          Mushrooms/Grey_Mushroom.soatree.yml
Blue_Mushroom          Mushrooms/Blue_Mushroom.soatree.yml
Purple_Mushroom        Mushrooms/Purple_Mushroom.soatree.yml
Dark_Blue_Mushroom2    Mushrooms/Dark_Blue_Mushroom2.soatree.yml
Purple_Mushroom2       Mushrooms/Purple_Mushroom2.soatree.yml
Dark_Blue_Mushroom3    Mushrooms/Dark_Blue_Mushroom3.soatree.yml
Dark_Purple_Mushroom   Mushrooms/Dark_Purple_Mushroom.soatree.yml
Grey_Mushroom2         Mushrooms/Grey_Mushroom2.soatree.yml
Dark_Blue_Mushroom     Mushrooms/Dark_Blue_Mushroom.soatree.yml
Blue_Mushroom2         Mushrooms/Blue_Mushroom2.soatree.yml

Boulder                Other/Boulder.soatree.yml
Bush1                  Other/Bush1.soatree.yml
Spike                  Other/Spike.soatree.yml
SpikeSmall             Other/SpikeSmall.soatree.yml
